City,Lat,Lng,Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Guerrero Negro,27.9769,-114.0611,67.73,64,0,14.29,MX,1635091451
Atuona,-9.8,-139.0333,77.81,74,19,18.1,PF,1635091451
Mataura,-46.1927,168.8643,49.24,98,91,0.54,NZ,1635091451
Nicosia,35.1667,33.3667,71.08,56,20,12.66,CY,1635091451
Okato,-39.2,173.8833,53.69,94,100,8.52,NZ,1635091452
Kumul,42.8,93.45,49.32,40,99,5.19,CN,1635091452
Sioux Lookout,50.1001,-91.917,32.38,68,69,7.65,CA,1635091452
Soe,-9.8607,124.284,68.52,88,100,3.4,ID,1635091453
Hofn,64.2539,-15.2082,48.22,81,75,11.5,IS,1635091453
Kozlovo,56.5167,36.2667,32.95,68,56,10.76,RU,1635091454
Atar,20.5169,-13.0499,99.61,13,5,7.2,MR,1635091454
Macao,22.2006,113.5461,69.03,73,20,20.71,MO,1635091454
Port Hardy,50.6996,-127.4199,49.62,75,100,26.35,CA,1635091455
Beringovskiy,63.05,179.3167,8.22,86,33,7.09,RU,1635091455
Vila Velha,-20.3297,-40.2925,84.54,66,4,15.66,BR,1635091230
Ushuaia,-54.8,-68.3,42.69,72,94,9.42,AR,1635091414
Laas,46.6166,10.7002,46.92,62,0,2.62,IT,1635091456
Chokurdakh,70.6333,147.9167,-9.04,99,98,3.18,RU,1635091437
Kitgum,3.2783,32.8867,76.75,63,95,6.67,UG,1635091456
Kieta,-6.2167,155.6333,78.12,84,81,2.71,PG,1635091456
Butaritari,3.0707,172.7902,79.95,73,8,4.41,KI,1635091423
Klaksvík,62.2266,-6.589,50.92,88,88,24.45,FO,1635091457
Ponta do Sol,32.6667,-17.1,74.26,61,46,4.61,PT,1635091457
Alofi,-19.0595,-169.9187,74.37,68,45,15.32,NU,1635091457
Bathsheba,13.2167,-59.5167,88.41,62,20,24.16,BB,1635091458
Inírida,3.8653,-67.9239,83.86,74,99,2.51,CO,1635091185
Liberal,37.0431,-100.921,56.98,67,1,13.8,US,1635091458
Kapaa,22.0752,-159.319,73.09,88,75,17.27,US,1635091459
Hobart,-42.8794,147.3294,45.46,80,75,5.99,AU,1635091202
Qaanaaq,77.484,-69.3632,-0.24,59,0,7.76,GL,1635091423
Esperance,-33.8667,121.9,68.43,36,100,26.84,AU,1635091459
Rikitea,-23.1203,-134.9692,74.71,73,71,16.69,PF,1635091459
Punta Arenas,-53.15,-70.9167,44.11,81,100,27.78,CL,1635091419
Karata,42.5949,46.3393,46.22,79,85,2.46,RU,1635091460
Vaini,-21.2,-175.2,64.56,94,68,4.61,TO,1635091416
Barrow,71.2906,-156.7887,28.42,74,90,5.75,US,1635091441
Palmer,42.1584,-72.3287,51.91,50,20,1.99,US,1635091460
Thompson,55.7435,-97.8558,28.56,93,75,2.3,CA,1635091217
Karratha,-20.7377,116.8463,78.69,58,6,10.63,AU,1635091461
Busselton,-33.65,115.3333,58.05,86,100,10.6,AU,1635091416
Dikson,73.5069,80.5464,7.29,86,100,18.86,RU,1635091424
Nikolskoye,59.7035,30.7861,32.74,82,73,3.83,RU,1635091433
Avarua,-21.2078,-159.775,69.85,68,51,8.05,CK,1635091425
Chimoré,-16.9833,-65.1333,66.76,98,100,1.63,BO,1635091462
Husavik,66.0449,-17.3389,35.51,98,100,7.09,IS,1635091462
Kambi,39.2177,20.8998,65.86,81,100,3.33,GR,1635091462
Bluff,-46.6,168.3333,52.32,95,98,3.58,NZ,1635091270
Constitución,-35.3333,-72.4167,63.12,56,0,17.76,CL,1635091463
Naryan-Mar,67.6713,53.087,21.99,93,40,5.57,RU,1635091463
Abirāmam,9.4667,78.45,78.12,73,100,5.39,IN,1635091464
Aden,12.7794,45.0367,84.65,61,6,10.04,YE,1635091336
Tuktoyaktuk,69.4541,-133.0374,23.38,95,64,5.26,CA,1635091464
Hilo,19.7297,-155.09,69.69,91,75,4.61,US,1635091210
Ahipara,-35.1667,173.1667,56.44,95,15,2.93,NZ,1635091464
Cherskiy,68.75,161.3,-11.47,98,100,5.5,RU,1635091465
Yārāda,17.65,83.2667,80.92,83,75,2.3,IN,1635091465
Albany,42.6001,-73.9662,50.22,61,2,1.01,US,1635091420
Ndendé,-2.4008,11.3581,79.95,84,100,4.14,GA,1635091465
Mehamn,71.0357,27.8492,30.15,93,75,6.91,NO,1635091466
Hermanus,-34.4187,19.2345,64.8,61,0,12.28,ZA,1635091428
Yangi Marg`ilon,40.4272,71.7189,47.62,24,0,1.97,UZ,1635091420
Skibbereen,51.55,-9.2667,57.0,87,61,19.22,IE,1635091466
Asău,46.4333,26.4,44.24,57,64,3.04,RO,1635091466
Teknāf,20.8624,92.3058,75.69,82,84,4.38,BD,1635091467
Luwuk,-0.9516,122.7875,78.01,70,100,2.57,ID,1635091467
Cape Town,-33.9258,18.4232,63.55,49,0,5.01,ZA,1635091419
Sambava,-14.2667,50.1667,75.36,91,23,4.23,MG,1635091467
Hearst,49.6835,-83.6665,34.11,97,100,4.16,CA,1635091261
